668.9,2100.4,641.2,0
984.3,1920.2,502.6,4
433.2,2329.1,658.5,2
132.6,219.3,147.9,1
290.7,168.3,45.9,5
91.8,142.8,270.3,3
692.9,2110.1,647.7,0
1051.6,1869.8,511.9,4
497.9,2329.5,626.8,2
125.2,210.4,150.3,1
280.6,150.3,60.1,5
85.2,135.3,280.6,3
563.4,2206.4,836.1,0
952.4,2039.2,617.9,4
428.9,2537.2,643.4,2
96.3,228.1,172.4,1
218.0,212.9,71.0,5
86.2,147.0,268.7,3
394.5,2181.9,879.7,0
733.1,2073.6,642.3,4
422.4,2398.3,638.9,2
90.2,230.5,165.3,1
210.4,200.4,80.2,5
70.1,120.2,305.6,3
339.0,2256.3,896.9,0
663.8,2182.2,646.2,4
349.6,2567.0,589.7,2
80.0,220.0,190.0,1
180.0,225.0,90.0,5
80.0,125.0,285.0,3
329.2,2283.7,792.1,0
678.9,2119.1,603.5,4
370.3,2338.6,692.7,2
80.0,265.0,140.0,1
185.0,240.0,70.0,5
65.0,130.0,295.0,3
418.2,2167.4,580.9,0
740.5,2017.3,395.8,4
383.0,2183.3,587.3,2
81.1,263.6,147.0,1
228.1,202.8,65.9,5
76.1,147.0,273.8,3
494.4,2333.5,601.5,0
847.0,2126.1,446.0,4
421.8,2371.5,632.6,2
80.2,250.5,150.3,1
190.4,230.5,75.1,5
70.1,145.3,280.6,3
539.2,2220.8,576.3,0
845.9,2055.7,431.4,4
401.0,2338.8,596.5,2
95.9,257.6,131.3,1
212.1,217.1,75.8,5
85.9,121.2,297.9,3
467.5,2167.1,492.8,0
739.2,1983.9,401.2,4
388.6,2211.3,527.6,2
80.0,240.0,150.0,1
205.0,205.0,80.0,5
70.0,130.0,290.0,3
426.9,2102.1,703.9,0
638.8,2040.1,544.3,4
400.9,2219.4,612.7,2
75.6,252.0,156.2,1
141.1,262.1,95.8,5
55.4,126.0,312.5,3
333.6,1915.7,899.1,0
565.5,1884.0,692.6,4
339.9,2128.6,689.4,2
55.4,191.5,236.9,1
131.0,231.8,136.1,5
50.4,126.0,322.6,3
